aX,aY,aZ,gX,gY,gZ
0.996,0.0,-0.033,-10.01,-6.287,-15.564
1.001,-0.003,-0.027,-9.033,-3.357,-15.442
0.988,-0.01,-0.034,-8.667,-0.916,-15.686
0.989,-0.013,-0.026,-9.155,2.319,-16.235
1.001,-0.002,-0.021,-10.01,4.822,-17.456
1.01,0.003,-0.014,-10.01,6.775,-17.761
1.036,0.002,-0.013,-9.949,7.629,-17.639
1.059,0.007,-0.011,-9.338,7.385,-17.151
1.061,0.001,-0.017,-8.911,5.737,-16.174
1.055,0.011,-0.02,-8.057,3.479,-15.259
1.043,0.019,-0.022,-7.202,1.648,-13.672
1.033,0.019,-0.024,-5.859,1.282,-12.146
1.033,0.006,-0.024,-4.761,2.197,-11.108
1.06,-0.005,-0.025,-3.845,3.174,-11.353
1.061,-0.011,-0.032,-4.15,3.845,-12.146
1.049,-0.004,-0.025,-4.517,4.211,-12.878
1.036,0.008,-0.038,-4.761,3.845,-12.39
1.082,-0.016,-0.04,-4.578,4.639,-11.108
1.092,-0.002,-0.048,-5.31,5.493,-11.414
1.071,0.008,-0.042,-5.249,5.493,-11.292
1.091,-0.006,-0.064,-5.066,5.066,-9.399
1.079,0.011,-0.062,-4.639,5.371,-8.362
1.057,0.007,-0.072,-3.967,6.409,-6.653
1.066,0.009,-0.072,-2.563,8.057,-5.127
1.036,0.006,-0.086,-1.038,9.644,-4.15
1.015,-0.015,-0.097,0.916,12.817,-3.723
1.07,0.015,-0.05,1.709,17.212,-3.662
0.889,-0.009,-0.141,3.723,18.555,-2.625
1.109,-0.02,-0.052,4.639,24.536,0.122
1.172,-0.051,-0.061,5.188,22.949,-0.427
0.99,-0.011,-0.073,4.517,17.822,-2.625
1.082,-0.018,-0.054,4.395,12.512,0.244
1.035,-0.032,-0.12,3.967,9.521,2.136
1.012,0.002,-0.067,4.211,7.263,2.747
1.001,0.012,-0.063,3.906,4.089,4.517
0.997,0.008,-0.064,3.967,0.793,6.653
0.984,0.008,-0.066,4.028,-2.319,8.057
0.957,0.004,-0.069,3.723,-4.883,8.545
0.933,0.003,-0.079,3.357,-6.348,8.301
0.928,-0.003,-0.087,2.747,-5.859,7.202
0.938,-0.011,-0.09,1.77,-4.333,5.493
0.95,-0.016,-0.097,0.732,-2.502,3.601
0.967,-0.019,-0.101,0.061,-1.282,2.136
0.98,-0.017,-0.107,-0.671,-0.305,1.648
0.981,-0.01,-0.112,-1.343,0.671,1.709
0.974,-0.001,-0.116,-1.587,1.526,2.441
0.957,0.008,-0.122,-1.709,2.93,3.845
0.937,0.016,-0.129,-1.648,4.211,5.676
0.914,0.02,-0.134,-1.343,6.409,7.202
0.893,0.025,-0.137,-1.526,9.094,8.24
4.0,0.642,1.523,-53.65,5.432,-32.043
4.0,-0.805,1.992,-28.931,5.066,127.014
4.0,-0.61,1.527,-39.063,-63.538,223.999
2.42,-0.541,0.488,-67.383,-46.753,238.037
0.988,-0.355,0.054,-59.265,14.038,219.116
0.509,-0.182,-0.04,-44.434,68.237,181.763
0.257,-0.334,-0.271,-36.133,101.868,161.316
-0.141,-0.258,-0.357,-25.391,132.629,147.156
-0.199,-0.514,-0.494,-23.376,156.799,151.978
0.105,-0.495,-0.517,-31.128,180.542,142.151
-0.022,-0.25,-0.312,-31.128,201.477,122.681
-0.012,-0.207,-0.254,-21.24,209.534,120.178
0.086,-0.257,-0.184,-16.602,191.101,118.713
0.217,-0.163,-0.134,-20.203,160.706,114.929
0.169,-0.143,-0.172,-17.944,130.554,112.305
0.102,-0.095,-0.194,-13.245,104.919,106.201
0.037,-0.061,-0.181,-6.592,84.9,96.68
0.048,-0.011,-0.168,1.099,68.115,85.266
0.049,-0.001,-0.151,9.46,53.65,73.12
0.064,0.019,-0.156,17.578,38.391,58.289
0.115,0.039,-0.165,25.818,23.132,41.809
0.154,0.028,-0.169,33.386,9.583,25.391
0.189,0.002,-0.19,38.147,-3.479,8.179
0.245,-0.013,-0.216,39.856,-14.099,-8.24
0.286,-0.033,-0.225,39.673,-22.278,-22.522
0.357,-0.033,-0.236,38.269,-29.602,-34.119
0.379,-0.075,-0.244,36.255,-35.217,-41.565
0.441,-0.09,-0.249,31.616,-38.879,-46.448
0.466,-0.129,-0.274,25.879,-41.443,-48.645
0.572,-0.142,-0.281,19.714,-41.321,-49.683
0.657,-0.172,-0.294,13.0,-39.917,-49.561
0.731,-0.193,-0.306,6.104,-38.635,-49.133
0.769,-0.191,-0.317,-0.488,-38.147,-49.255
0.837,-0.169,-0.333,-6.348,-37.476,-49.744
0.887,-0.129,-0.336,-9.094,-35.583,-49.5
0.915,-0.096,-0.328,-8.545,-33.203,-48.035
0.93,-0.063,-0.31,-5.31,-31.067,-46.692
0.929,-0.05,-0.293,-0.488,-28.748,-44.922
0.925,-0.048,-0.271,4.883,-25.818,-43.64
0.932,-0.054,-0.241,9.888,-22.522,-42.725
0.941,-0.071,-0.206,14.526,-20.569,-42.603
0.962,-0.092,-0.167,17.578,-21.118,-43.03
1.0,-0.115,-0.132,18.616,-24.902,-43.884
1.054,-0.147,-0.099,18.738,-32.349,-45.41
1.051,-0.157,-0.084,16.785,-43.03,-47.974
1.065,-0.159,-0.076,14.038,-54.443,-50.842
1.089,-0.169,-0.088,11.414,-64.148,-52.795
1.07,-0.174,-0.097,8.972,-71.899,-53.711
1.065,-0.166,-0.105,7.202,-76.111,-53.223
1.053,-0.163,-0.097,6.958,-77.026,-51.636
1.043,-0.174,-0.092,7.385,-75.806,-49.316
1.025,-0.167,-0.07,7.812,-73.242,-47.058
0.982,-0.158,-0.06,9.216,-70.251,-44.006
0.967,-0.168,-0.047,10.498,-65.491,-40.955
0.979,-0.153,-0.016,11.475,-59.509,-39.246
0.891,-0.166,-0.017,13.184,-55.725,-38.513
0.932,-0.208,-0.005,13.611,-50.903,-38.086
0.937,-0.2,-0.014,12.085,-46.204,-40.222
0.925,-0.218,-0.007,10.681,-40.955,-42.48
0.948,-0.207,0.002,9.521,-37.537,-44.617
0.976,-0.209,0.021,8.301,-34.851,-44.861
0.986,-0.211,0.018,7.263,-33.691,-43.152
0.98,-0.21,0.019,6.042,-32.837,-40.588
0.974,-0.218,0.013,5.432,-31.494,-37.476
0.974,-0.226,0.01,5.371,-29.358,-35.278
0.973,-0.224,0.013,5.92,-26.306,-33.997
0.96,-0.222,0.012,6.531,-23.376,-33.691
0.942,-0.221,0.017,7.69,-20.996,-33.447
0.921,-0.228,0.02,8.606,-18.738,-32.898
0.905,-0.24,0.026,9.338,-16.846,-32.227
0.912,-0.254,0.041,10.254,-15.503,-31.677
0.929,-0.264,0.051,10.925,-15.869,-32.104
0.933,-0.265,0.063,11.597,-17.395,-33.508
0.943,-0.278,0.07,12.695,-19.531,-34.851
0.965,-0.298,0.068,12.39,-21.729,-35.156
0.973,-0.31,0.06,11.658,-23.437,-35.156
0.961,-0.315,0.056,10.681,-23.56,-34.729
0.962,-0.332,0.051,10.01,-21.79,-33.508
0.977,-0.358,0.05,8.789,-18.738,-32.471
0.98,-0.377,0.044,7.385,-14.404,-32.776
0.969,-0.388,0.038,5.92,-9.216,-34.729
0.964,-0.396,0.034,4.944,-3.418,-37.17
1.002,-0.424,0.039,3.479,2.38,-39.673
1.073,-0.449,0.045,1.587,6.836,-41.87
1.116,-0.443,0.051,-0.427,8.484,-43.945
1.135,-0.427,0.058,-0.977,7.141,-44.189
1.155,-0.419,0.062,-0.916,4.089,-41.87
1.169,-0.419,0.061,0.122,-0.488,-37.964
1.161,-0.413,0.054,1.099,-4.944,-34.18
1.146,-0.409,0.042,1.953,-7.324,-30.151
1.138,-0.415,0.033,2.258,-7.996,-25.391
1.13,-0.416,0.026,1.404,-7.324,-19.287
1.106,-0.409,0.023,-0.366,-6.042,-12.268
1.073,-0.392,0.019,-2.197,-4.578,-4.944
1.036,-0.379,0.015,-3.723,-2.563,1.648
1.004,-0.373,0.016,-4.761,-0.61,7.324
0.976,-0.363,0.019,-5.127,0.671,10.376
0.952,-0.357,0.018,-5.615,1.282,11.841
0.939,-0.354,0.02,-5.676,1.343,13.0
0.934,-0.357,0.02,-5.371,0.244,13.794
0.931,-0.364,0.023,-5.554,-1.465,14.587
0.931,-0.38,0.016,-5.981,-4.089,14.954
0.929,-0.391,0.012,-7.08,-6.104,14.587
0.932,-0.406,0.005,-8.789,-7.568,13.672
0.938,-0.418,0.001,-10.132,-8.423,11.841
0.94,-0.426,-0.003,-11.475,-8.484,9.521
0.954,-0.436,-0.009,-12.695,-7.507,7.08
0.964,-0.44,-0.012,-13.611,-5.981,4.211
0.972,-0.44,-0.016,-13.672,-3.601,1.282
0.997,-0.436,-0.015,-13.611,-0.61,-1.16
1.014,-0.428,-0.013,-13.0,1.892,-2.686
1.028,-0.419,-0.012,-12.085,3.784,-3.418
1.033,-0.403,-0.013,-10.925,5.432,-3.601
1.025,-0.382,-0.012,-8.972,6.592,-3.235
1.011,-0.368,-0.01,-6.958,7.568,-2.319
0.998,-0.354,-0.01,-5.493,8.545,-0.122
0.97,-0.338,-0.012,-3.906,9.521,2.014
0.935,-0.322,-0.012,-2.258,10.742,3.54
0.904,-0.31,-0.011,-0.549,12.146,4.517
4.0,0.205,1.522,-16.663,-21.667,33.508
4.0,-0.819,1.396,-27.588,-54.321,197.876
3.033,-0.583,0.94,-62.744,-144.043,275.513
1.271,-0.455,0.164,-78.613,-100.464,290.161
0.321,-0.096,-0.28,-54.382,-13.245,257.751
-0.182,0.062,-0.35,-13.489,81.604,190.247
0.005,0.077,-0.26,6.226,155.701,137.207
-0.31,-0.025,-0.338,6.165,193.481,120.789
-0.273,-0.134,-0.329,0.305,217.529,125.732
-0.153,-0.325,-0.186,-13.733,226.685,137.39
0.008,-0.287,-0.046,-21.179,220.764,134.094
0.01,-0.162,-0.087,-19.409,203.979,128.235
0.1,-0.14,-0.083,-21.79,179.382,131.531
0.02,-0.139,-0.052,-22.278,150.879,134.827
0.009,-0.073,-0.082,-20.264,118.042,129.639
0.029,-0.037,-0.031,-16.541,89.233,122.864
0.002,0.017,0.012,-12.329,60.913,111.084
-0.013,0.078,0.016,-5.981,33.691,95.032
-0.018,0.09,0.021,2.441,10.986,77.454
-0.003,0.098,0.009,10.925,-9.827,58.533
0.004,0.105,-0.004,18.799,-28.687,38.879
0.052,0.117,-0.01,25.757,-44.739,19.775
0.103,0.068,-0.016,33.203,-57.312,2.869
0.174,0.022,-0.037,37.842,-68.054,-13.184
0.261,-0.015,-0.06,39.185,-75.562,-28.076
0.297,-0.078,-0.095,36.926,-80.078,-40.466
0.368,-0.081,-0.123,31.494,-82.031,-52.246
0.468,-0.083,-0.13,25.879,-78.918,-60.303
0.549,-0.11,-0.129,20.569,-71.716,-63.904
0.642,-0.126,-0.131,13.428,-63.843,-64.636
0.738,-0.123,-0.13,5.859,-56.396,-63.171
0.818,-0.112,-0.139,-1.221,-47.974,-59.448
0.868,-0.101,-0.152,-7.141,-38.33,-53.589
0.895,-0.085,-0.165,-12.146,-27.405,-47.18
0.924,-0.057,-0.181,-15.625,-15.625,-41.931
0.93,-0.029,-0.186,-18.127,-3.601,-38.33
0.934,-0.008,-0.185,-19.043,8.118,-36.865
0.942,0.008,-0.177,-19.043,18.677,-37.292
0.972,0.012,-0.164,-18.433,25.818,-39.246
1.013,0.005,-0.154,-17.09,28.442,-42.542
1.043,0.002,-0.137,-14.954,26.489,-47.363
1.061,-0.003,-0.124,-12.146,19.653,-52.246
1.071,-0.01,-0.113,-9.216,9.888,-56.641
1.072,-0.01,-0.101,-6.042,-0.916,-59.753
1.062,-0.018,-0.1,-3.235,-11.719,-61.707
1.048,-0.041,-0.102,-0.61,-21.24,-62.805
1.031,-0.064,-0.111,0.671,-27.832,-63.538
0.994,-0.059,-0.118,1.709,-31.799,-63.843
0.976,-0.046,-0.113,3.174,-32.349,-63.171
1.037,-0.083,-0.111,4.944,-30.273,-61.035
1.013,-0.085,-0.104,5.798,-27.405,-59.814
0.97,-0.166,-0.167,6.104,-23.926,-58.777
0.963,-0.05,-0.057,4.15,-17.578,-59.814
0.943,-0.109,-0.097,3.357,-14.526,-57.556
1.054,-0.19,-0.099,1.404,-6.531,-56.641
1.031,-0.118,-0.083,-1.587,-4.395,-57.373
1.05,-0.144,-0.047,-1.953,-5.371,-52.551
1.085,-0.146,-0.037,-3.723,-11.23,-48.523
1.057,-0.161,-0.05,-4.822,-19.714,-46.143
1.033,-0.179,-0.07,-6.042,-26.794,-44.983
1.002,-0.178,-0.084,-7.019,-30.945,-44.495
0.986,-0.177,-0.08,-8.057,-32.104,-43.579
0.95,-0.184,-0.085,-8.972,-32.043,-42.419
0.915,-0.178,-0.073,-9.521,-30.884,-41.199
0.873,-0.182,-0.07,-9.46,-28.809,-39.673
0.829,-0.191,-0.066,-8.728,-26.672,-39.185
0.803,-0.204,-0.063,-8.911,-23.926,-40.283
0.787,-0.218,-0.059,-8.789,-20.996,-43.091
0.805,-0.233,-0.056,-8.85,-18.677,-47.241
0.813,-0.229,-0.054,-9.521,-18.372,-52.124
0.795,-0.213,-0.05,-9.399,-20.081,-56.641
0.762,-0.197,-0.051,-8.362,-23.437,-60.12
0.716,-0.196,-0.058,-7.08,-27.1,-63.049
0.686,-0.213,-0.071,-5.188,-29.419,-66.711
0.668,-0.245,-0.082,-2.991,-28.503,-71.899
0.702,-0.298,-0.087,-1.709,-23.682,-77.454
0.809,-0.376,-0.094,-2.014,-17.029,-82.764
0.907,-0.421,-0.091,-3.601,-10.803,-87.952
0.955,-0.429,-0.078,-5.798,-7.141,-91.37
0.989,-0.43,-0.065,-6.348,-6.104,-92.896
1.02,-0.425,-0.046,-4.822,-6.592,-93.323
1.052,-0.422,-0.025,-1.282,-8.85,-94.421
1.124,-0.454,-0.016,3.906,-12.939,-97.168
1.184,-0.45,-0.008,9.033,-18.616,-101.868
1.216,-0.43,0.005,15.076,-25.879,-106.018
1.285,-0.464,0.017,20.691,-33.264,-103.394
1.345,-0.5,0.028,22.4,-39.551,-92.773
1.364,-0.515,0.027,20.813,-45.715,-77.393
1.355,-0.52,0.003,18.127,-50.537,-60.669
1.326,-0.529,-0.005,14.465,-51.27,-44.983
1.272,-0.524,-0.016,9.583,-47.424,-30.884
1.201,-0.511,-0.022,5.737,-39.124,-18.86
1.13,-0.501,-0.024,2.625,-27.832,-9.338
1.078,-0.494,-0.018,0.61,-14.16,-2.686
1.06,-0.489,-0.001,-1.16,0.183,1.404
1.067,-0.49,0.012,-3.357,12.512,3.174
1.072,-0.5,0.019,-5.249,21.729,3.418
1.11,-0.512,0.029,-6.287,26.367,3.174
1.155,-0.53,0.042,-7.629,25.574,3.052
1.183,-0.548,0.047,-8.24,19.47,2.93
1.199,-0.564,0.05,-8.545,9.338,2.197
1.208,-0.584,0.052,-8.972,-2.014,1.953
1.206,-0.601,0.043,-9.827,-12.939,2.014
1.203,-0.615,0.027,-10.803,-22.278,2.93
1.218,-0.637,-0.006,-11.353,-30.09,5.554
1.209,-0.662,-0.01,-15.32,-35.889,9.521
1.151,-0.64,0.039,-25.574,-38.025,12.817
1.106,-0.593,0.05,-37.17,-36.194,15.137
1.047,-0.529,0.066,-45.593,-31.372,17.456
0.98,-0.441,0.105,-51.208,-24.231,19.287
0.921,-0.36,0.12,-52.307,-15.503,19.897
0.878,-0.304,0.089,-48.523,-7.141,20.447
0.831,-0.264,0.047,-39.49,0.427,21.606
0.807,-0.264,0.032,-28.137,8.545,23.437
0.807,-0.289,0.032,-17.09,15.259,25.085
0.804,-0.293,0.065,-10.315,18.25,26.245
0.812,-0.294,0.084,-6.958,17.7,26.917
0.813,-0.292,0.082,-6.287,13.916,26.978
0.807,-0.302,0.068,-6.47,8.484,27.466
4.0,0.383,2.394,59.387,3.906,-225.22
4.0,-0.049,2.823,63.293,-11.963,-133.667
4.0,-0.966,1.805,55.481,-63.049,75.317
2.864,-1.026,0.427,10.864,-57.739,198.792
1.063,-0.306,0.148,12.085,27.527,225.464
-0.123,-0.528,-0.125,18.066,74.524,230.408
0.401,-1.072,-0.337,14.893,86.792,234.131
0.861,-0.63,0.036,-12.268,74.28,219.604
0.339,-0.533,0.185,-41.382,15.442,219.604
1.218,-0.738,0.345,-60.181,-65.796,234.558
0.668,-0.745,0.046,-64.697,-165.527,218.14
0.291,-0.585,-0.162,-73.303,-256.775,199.89
0.331,-0.514,-0.264,-82.214,-319.763,191.833
0.015,-0.407,-0.456,-78.735,-356.628,171.082
-0.379,-0.388,-0.625,-71.228,-364.441,151.733
-0.469,-0.267,-0.609,-68.787,-344.482,135.315
-0.552,-0.174,-0.593,-60.73,-306.641,119.324
-0.63,-0.13,-0.578,-47.974,-258.85,105.164
-0.642,-0.065,-0.526,-35.767,-206.482,92.773
-0.621,0.0,-0.471,-22.4,-153.076,81.055
-0.596,0.039,-0.421,-8.667,-101.868,69.092
-0.526,0.067,-0.356,4.761,-53.772,56.091
-0.412,0.095,-0.268,17.761,-13.123,42.969
-0.288,0.095,-0.207,30.457,17.09,30.151
-0.168,0.098,-0.118,41.199,37.842,17.029
-0.048,0.054,-0.054,51.147,48.096,5.249
0.078,0.006,0.021,58.96,50.415,-6.226
0.179,-0.059,0.062,64.941,46.143,-18.433
0.331,-0.102,0.175,67.871,38.208,-30.029
0.459,-0.185,0.203,70.007,25.208,-39.856
0.595,-0.225,0.283,68.848,10.803,-47.241
0.711,-0.279,0.321,66.406,-5.798,-51.27
0.767,-0.297,0.354,61.768,-21.057,-52.368
0.811,-0.307,0.371,56.641,-34.363,-49.622
0.852,-0.299,0.39,50.964,-43.274,-45.41
0.865,-0.269,0.404,46.753,-47.852,-41.87
0.832,-0.238,0.401,45.288,-48.218,-40.161
0.804,-0.21,0.399,45.471,-42.725,-39.734
0.815,-0.191,0.413,46.936,-32.41,-39.612
0.824,-0.173,0.431,49.805,-20.02,-40.71
0.842,-0.167,0.455,52.917,-7.629,-41.504
0.895,-0.173,0.489,55.603,2.747,-40.71
0.957,-0.176,0.529,57.983,8.24,-39.368
0.989,-0.175,0.567,58.899,6.714,-38.269
1.003,-0.176,0.595,59.57,-1.282,-37.415
1.004,-0.185,0.613,60.547,-12.878,-37.781
0.976,-0.188,0.626,61.523,-25.513,-39.978
0.938,-0.192,0.634,62.378,-35.217,-42.175
0.909,-0.205,0.635,62.561,-40.1,-42.175
0.881,-0.218,0.639,60.974,-40.283,-39.49
0.858,-0.223,0.646,57.617,-36.377,-36.743
0.838,-0.225,0.659,53.65,-29.297,-34.302
0.836,-0.226,0.673,49.316,-20.386,-32.166
0.846,-0.211,0.693,46.021,-11.841,-31.494
0.873,-0.213,0.711,44.189,-5.493,-32.104
0.897,-0.218,0.728,42.236,-2.808,-32.288
0.901,-0.219,0.736,40.039,-4.211,-32.104
0.885,-0.22,0.734,37.659,-8.057,-32.41
0.843,-0.224,0.717,35.095,-11.108,-32.898
0.814,-0.228,0.699,31.372,-11.414,-33.142
0.78,-0.234,0.676,28.259,-7.935,-33.875
0.75,-0.217,0.666,25.085,-0.427,-35.156
0.698,-0.214,0.636,23.132,10.437,-36.072
0.708,-0.231,0.627,22.156,25.635,-36.377
0.774,-0.245,0.652,21.423,41.992,-37.354
0.846,-0.255,0.677,20.325,54.199,-38.33
0.889,-0.253,0.703,17.761,59.265,-36.865
0.912,-0.264,0.697,13.428,58.716,-33.386
0.916,-0.264,0.687,8.972,56.213,-30.212
0.902,-0.262,0.665,4.761,53.894,-28.076
0.895,-0.254,0.651,0.916,52.246,-26.245
0.9,-0.247,0.635,-1.77,51.025,-24.78
0.911,-0.244,0.627,-3.235,49.561,-24.353
0.932,-0.238,0.624,-4.578,46.936,-23.682
0.952,-0.24,0.618,-4.517,42.358,-23.376
0.966,-0.237,0.615,-3.662,36.316,-23.132
0.987,-0.229,0.615,-2.258,29.541,-22.705
1.01,-0.23,0.61,0.61,22.278,-22.644
1.036,-0.24,0.609,4.639,14.404,-22.705
1.053,-0.241,0.617,7.263,5.981,-21.667
1.057,-0.252,0.614,9.644,-2.686,-19.775
1.052,-0.273,0.595,11.169,-10.254,-17.639
1.039,-0.277,0.584,11.78,-15.869,-15.991
1.031,-0.281,0.588,11.23,-18.616,-14.465
1.036,-0.29,0.59,10.559,-20.142,-11.597
1.035,-0.285,0.592,8.667,-21.729,-7.446
1.016,-0.267,0.599,6.47,-24.597,-2.869
0.986,-0.272,0.575,4.333,-29.114,2.563
0.94,-0.262,0.549,1.953,-33.691,7.874
0.884,-0.26,0.537,0.244,-37.292,11.047
0.833,-0.265,0.507,-1.343,-39.429,12.695
0.773,-0.264,0.477,-3.784,-40.039,13.672
0.732,-0.257,0.455,-6.897,-38.33,14.343
0.705,-0.25,0.446,-10.376,-35.217,14.771
0.687,-0.242,0.434,-13.611,-31.86,14.832
0.668,-0.249,0.421,-16.296,-28.809,14.709
0.66,-0.255,0.412,-19.409,-25.146,14.587
0.655,-0.251,0.414,-22.4,-21.362,14.099
0.653,-0.236,0.427,-25.085,-17.212,13.184
0.662,-0.233,0.425,-26.428,-12.939,11.536
0.684,-0.247,0.421,-25.94,-8.972,9.705
0.712,-0.255,0.43,-24.597,-5.859,7.996
0.757,-0.263,0.45,-23.132,-3.296,6.409
0.81,-0.275,0.474,-20.447,-2.075,4.639
0.856,-0.303,0.489,-16.052,-2.441,2.258
0.895,-0.328,0.511,-11.78,-3.601,-0.305
0.932,-0.351,0.534,-8.057,-5.371,-2.014
0.959,-0.373,0.546,-5.371,-7.69,-2.563
0.974,-0.383,0.547,-4.944,-10.01,-2.38
0.972,-0.378,0.548,-5.371,-11.902,-2.075
0.943,-0.367,0.531,-6.042,-12.939,-1.709
0.897,-0.352,0.506,-7.446,-12.146,-1.038
0.851,-0.32,0.491,-9.155,-9.277,-0.427
0.807,-0.294,0.466,-10.437,-4.517,0.366
0.769,-0.274,0.445,-11.047,1.282,1.465
0.744,-0.256,0.437,-11.23,7.202,2.258
0.733,-0.246,0.432,-10.193,11.963,2.686
0.722,-0.241,0.424,-8.301,14.526,3.113
0.715,-0.234,0.422,-6.653,14.771,3.479
3.605,-2.481,4.0,-119.263,-213.623,17.761
1.709,-1.237,4.0,-342.59,-213.501,85.327
-0.756,-0.6,1.915,-368.53,-122.742,126.221
-0.756,0.313,1.469,-361.938,-12.329,154.724
-0.037,0.073,0.542,-278.137,60.486,134.644
-0.107,0.315,0.486,-192.871,101.99,73.303
0.123,0.016,0.209,-129.944,116.15,36.072
0.025,-0.137,-0.183,-98.816,101.746,15.381
0.164,-0.36,-0.357,-104.492,76.416,10.62
0.04,-0.238,-0.248,-127.075,53.589,9.705
0.041,-0.167,-0.387,-138.672,27.71,21.912
-0.102,-0.19,-0.505,-145.691,7.874,36.194
-0.148,-0.045,-0.428,-151.245,-5.615,52.124
-0.199,-0.189,-0.656,-151.367,-17.273,67.932
-0.32,0.014,-0.457,-150.696,-11.658,66.345
-0.31,0.062,-0.564,-141.235,-13.611,65.735
-0.332,0.093,-0.57,-123.474,-12.146,61.157
-0.352,0.306,-0.455,-104.431,-7.202,48.706
-0.316,0.347,-0.448,-70.679,-8.545,38.696
-0.296,0.387,-0.407,-31.555,-8.179,25.696
-0.278,0.418,-0.314,10.071,-7.141,8.85
-0.23,0.361,-0.206,54.565,-5.92,-7.874
-0.127,0.257,-0.06,97.656,-5.005,-23.865
-0.006,0.141,0.084,133.972,-6.287,-37.537
0.073,0.007,0.222,163.452,-11.169,-47.302
0.153,-0.131,0.364,183.533,-17.273,-49.866
0.231,-0.243,0.517,191.65,-22.278,-43.701
0.263,-0.345,0.667,188.477,-24.17,-30.945
0.258,-0.444,0.773,175.537,-22.156,-15.137
0.236,-0.503,0.861,154.724,-16.296,-2.563
0.227,-0.52,0.945,130.31,-5.981,0.854
0.238,-0.507,1.013,105.896,9.338,-5.127
0.254,-0.45,1.058,85.205,27.954,-16.663
0.313,-0.36,1.091,69.214,46.997,-26.611
0.409,-0.288,1.114,59.143,63.354,-31.799
0.506,-0.255,1.142,55.298,74.585,-33.63
0.586,-0.25,1.153,54.993,78.796,-33.386
0.661,-0.247,1.183,55.542,77.026,-31.86
0.717,-0.257,1.202,56.824,69.702,-30.518
